1205,431173,425630
1207,427933,429898
1208,428188,429124
1209,428222,428395
1220A,427546,429552
1220B,427736,429256
1229,426506,429496
1258,429184,425440
1260A,428134,424197
1260B,428456,423909
1266,423392,428245
1274,430014,425814
1275A,428202,427910
1275B,428407,427935
1279,428268,427628
1280,426670,428197
1281A,425364,426776
1281B,425429,426870
1282,426961,428895
1283,427404,428769
1284A,427598,428315
1284B,427845,428464
1285,428126,427623
1319,427214,428108
1320,427888,428199
1325,429616,430301
1330B,428494,425250
1332,422795,428040
1334,423195,428920
1336,428275,425357
1344,423094,429314
5165,430223,426164
2036,426699,427368
2037,431122,426004
2078,426844,431007
2095,428523,428833
2096,428836,427721
2098A,429716,427071
2098B,429206,427436
2098C,429504,427182
2099,428420,426876
2100A,430035,427213
2100B,430211,427263
2104,432865,426951
2105,429582,425437
2114,426915,430734
2124,422826,428975
2125,426947,429758
2127,428705,426699
2128,430383,425753
2155,430100,425988
2159,425697,431076
2164,427671,428967
3000,424137,428420
3003,422711,428831
3007,424381,428040
3056,426408,431117
3057,426652,430679
3058,426031,430221
3059,426803,430307
3060A,425413,428992
3060B,425830,429690
3061,425095,429375
3062,424810,429486
3063,424625,429513
3064,423979,428697
3068,427577,428603
3069,428424,427654
3075,429795,426857
3077A,427249,425608
3077B,427082,425364
3078A,427453,425184
3078B,427195,424905
3120,428072,427343
3161,430529,427672
3185,425802,427362
3188,426127,427564
3189,426651,426912
3199,427665,430235
3212,430277,426269
3214,427894,424535
3216,422918,428627
3218,424004,428271
3222,428481,426036
3224,426065,428291
3311,431515,426244
3313,429457,423278
3320,431484,427299
3350,432989,426459
3365,429347,425446
3372,427769,424964
3373A,428063,425192
3373B,428055,424998
3373C,428288,425035
3378,424454,428656
3383,424489,427215
3386,426916,431434
3387,425011,428741
3394,428977,430085
3397,428734,430231
3428,426963,428580
3456A,428572,424885
3456B,428815,425086
3458,425096,430699
3467,425311,427102
4002,428480,430640
4004,431509,426740
4028,430199,427739
4029,427046,430909
4030,430362,427627
4031,430451,427573
4032,430545,427529
4033,430642,427381
4034,429737,427620
4035,429877,427198
4052,427636,425364
4053,426730,427735
4054,426700,427649
4175,428670,429576
4186,428796,425354
4187,425741,426922
4198,426395,428016
4205,425485,426021
4206,425576,428875
4208,427154,428592
4209,423535,428039
4211,427494,428238
4252,432656,427168
4256,431766,427627
5000,429768,425256
5008,429490,429985
5100,424656,429283
5107,429707,427762
5113,422565,429177
5117,430299,425464
5130,430857,425577
5131,423999,429128
5132,425359,425683
5133,426576,427150
5137,426819,427714
5143,423258,429654
5144,429525,425505
5147,428712,429306
HLA21045,429078,430239
HLA21049,429682,430512
HLA23029,426543,427303
HLA23037,423766,428304
HLA23039,426584,427020
HLA23041,426468,427277
HLA23042,426407,427926
HLA23043,426568,427371
HLA23042,430109,425082
HLA23043,428112,424442
24,422166,434828
26,424039,434315
33,421993,432777
41,426193,433744
CFSM051,421677,435386
64,422624,431615
153,421743,433461
157,421537,435420
163,425141,435425
242,423783,434737
248,421181,433282
254,427320,432646
255,426842,433691
306,424139,436555
308,421257,435306
382,422869,432352
587,425815,435376
595,426432,432214
602,423891,436681
613,424108,434395
625,425894,435296
626,424780,436673
636,423379,434921
638,426871,432778
644,424625,433312
645,422115,435867
646,420850,433306
648,421849,435381
649,420863,434322
650,422710,433663
652,421890,435452
653,422747,433307
656,423838,433486
658,422257,435575
659,421865,432658
666,421208,433097
667,422383,434512
669,419720,433571
671,422844,433650
678,421568,434351
1051,423893,436861
1053A,423808,436454
1053B,423772,436302
1060A,423465,433293
1060B,423331,433224
1073A,420918,433755
1073B,420970,433884
1085,422407,435641
1110,421821,436222
1114,421888,435988
